Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Lloyd Neal,,4.8,4.7,4.3,4.3,2.9,1.8,-0.1,NA,NA,NA,NA
Nenad Krstić,89.7,5.4,4.4,4.2,4,1.9,1.7,-0.1,NA,NA,NA,NA
Kelly Olynyk,87.8,5.5,4.7,4.1,4.1,3.6,2.9,NA,NA,NA,NA,NA
Kevin Duckworth,86.6,5.2,4.8,4.8,4.3,3.3,2.5,0.8,0,-0.1,-0.2,-0.5
Steve Johnson,84.8,4.9,4.4,4.4,4.4,3.1,2.4,1.7,1.3,0.2,0,NA
Sam Bowie,84.0,5.7,4.7,4.6,4.3,2.6,2.4,1.1,0.8,0.5,0.1,NA
Cody Zeller,83.6,6.3,5.6,3.9,3.8,2.6,1.9,NA,NA,NA,NA,NA
Kevin Kunnert,82.9,5.1,4.8,4.1,2.6,2.3,1.9,1,0.2,0,NA,NA
Jack Nichols,82.1,6.7,4.4,4.3,4.1,2.5,1.6,1,0.3,NA,NA,NA
Tim McCormick,81.6,6,4.6,3.9,3.8,2,1.1,0.2,-0.1,NA,NA,NA
Eddy Curry,81.2,4.7,4.3,3.5,3.3,3,1.8,1.7,0,-0.1,-0.1,-0.3
