Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Tim Kempton,,1.3,1.3,1,0.1,0,-0.1,-0.1,-0.2
Chris Johnson,72.8,1.4,1.1,0.8,0.2,NA,NA,NA,NA
Fred Saunders,72.7,1.3,1.2,0.5,0.1,NA,NA,NA,NA
Charles Pittman,72.5,1.7,1.5,0.9,0.1,NA,NA,NA,NA
Tom Workman,69.4,1.4,1.3,0.4,0.1,NA,NA,NA,NA
Dominic McGuire,66.4,1.7,1.5,0.9,0.3,0,-0.2,NA,NA
Taurean Waller-Prince,66.2,2,1.5,1.1,NA,NA,NA,NA,NA
Skal Labissière,65.9,1.4,1.3,0.3,NA,NA,NA,NA,NA
Cliff Meely,65.3,1.8,1.2,1,0.4,0.2,NA,NA,NA
Anthony Miller,65.2,1.2,1.2,0.8,0.6,0,0,0,-0.1
Derrick Brown,65.0,2.3,1.3,1,NA,NA,NA,NA,NA
