Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Jordan Hill,,4.4,3.9,2.2,1.8,1.4,1.4,1.4,0,NA,NA,NA
Mike Brown,81.8,3.7,3.7,2.4,1.5,1.5,1.4,1,0.7,0.2,0.1,-0.4
Dan Gadzuric,81.6,5.2,3.7,2.5,1.8,1.2,0.8,0.5,0.1,0.1,0,NA
Jerome Whitehead,81.0,5.3,3.6,2.1,1.6,1.5,1.2,0.4,0.3,0.2,0.2,0.1
Len Elmore,79.6,4.1,3.4,2.2,2.1,2.1,1.6,1.5,0.9,0.9,0,NA
Jim Davis,78.9,4.3,3.8,3.5,2.3,2.3,1.8,0.9,0.2,NA,NA,NA
Bob Ferry,78.3,4.9,3.9,3.1,2.7,1.4,1.2,1.2,0.9,0.8,0,NA
Nat Clifton,77.6,3.7,3.3,2.4,2.1,1.8,1.6,0.5,-0.4,NA,NA,NA
Luc Longley,76.4,3.5,3.4,3.1,2.2,1.8,1.8,1.3,0.2,0.2,0,NA
Lee Davis,76.0,4.6,3.7,2.1,1.5,0.6,0.2,0.2,-0.1,NA,NA,NA
Kurt Nimphius,75.9,4.8,3.3,3.1,2.9,1.5,1,0.7,0.1,NA,NA,NA
