Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Terry Dehere,,5,1.2,1,0.5,0,-0.4,NA,NA,NA
D'Angelo Russell,79.5,5,1.3,0.4,0,NA,NA,NA,NA,NA
Jack McMahon,76.6,4.7,1.3,0.8,0.6,0,-0.2,-0.2,-0.7,NA
Matt Maloney,75.1,5.3,2.2,1.5,0.7,0.1,-0.3,NA,NA,NA
Jeffrey Congdon,73.7,4.3,0.9,0.7,0.3,0,NA,NA,NA,NA
Ed Fleming,72.9,5,2,1.2,1,0.8,NA,NA,NA,NA
Charles Williams,72.0,3.9,1.3,1.1,0.6,-0.3,-0.7,NA,NA,NA
Jason Hart,71.0,4.8,1.9,1.5,0.4,0.3,0.1,0,0,-0.3
Gene Vance,67.6,5.3,2.2,1.6,1.3,0,NA,NA,NA,NA
Walt Kirk,67.2,5,2.3,0.4,NA,NA,NA,NA,NA,NA
Ronnie Lester,66.8,3.9,1.7,0.7,0.2,0,-0.2,NA,NA,NA
