Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1959-60,24,PHW,NBA,PG,9,NA,370,4.8,13.2,0.36,1.9,3.5,0.556,7.5,5.3,3.8,11.5
1960-61,25,PHW,NBA,PG,3,NA,121,6.2,17,0.368,3.3,6,0.55,6.2,4.5,4.8,15.8
1961-62,26,PHW,NBA,PG,12,NA,482,3.9,10.8,0.359,2.6,4.1,0.636,5.3,6.6,4.3,10.4
1963-64,28,SFW,NBA,PG,12,NA,419,4.9,14.9,0.329,2.8,4,0.702,5,7.7,4,12.6
1966-67,31,CHI,NBA,PG,3,NA,97,5.6,14.8,0.375,1.5,1.9,0.8,2.2,6.7,4.1,12.6
1969-70,34,MIL,NBA,PG,7,NA,68,2.1,7.4,0.286,4.8,6.4,0.75,2.1,11.1,3.7,9
Career,NA,,NBA,,46,NA,1557,4.6,13.1,0.35,2.6,4,0.64,5.5,6.6,4.1,11.7
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,"PHW,SFW",NBA,,36,NA,1392,4.6,13.2,0.35,2.6,4.1,0.627,5.9,6.4,4.1,11.8
1 season,NA,MIL,NBA,,7,NA,68,2.1,7.4,0.286,4.8,6.4,0.75,2.1,11.1,3.7,9
1 season,NA,CHI,NBA,,3,NA,97,5.6,14.8,0.375,1.5,1.9,0.8,2.2,6.7,4.1,12.6
