,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1959-60,24,PHW,NBA,,14,26,4,10,10,9,6,31
1960-61,25,PHW,NBA,,10,21,6,8,9,6,6,26
1961-62,26,PHW,NBA,,9,17,7,9,12,10,6,22
1963-64,28,SFW,NBA,,10,,7,9,,,6,23
1966-67,31,CHI,NBA,,7,16,4,4,3,11,5,14
1969-70,34,MIL,NBA,,2,,4,5,,,,6
Career,,,,,14,,7,10,,,,31
4 Seasons,,"PHW,SFW",NBA,,14,,7,10,,,6,31
1 Season,,MIL,NBA,,2,,4,5,,,,6
1 Season,,CHI,NBA,,7,16,4,4,3,11,5,14
