Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Guy Rodgers,,6.2,4.8,4.3,4,2.8,2.5,2.4,2.3,2.1,1.3,0.6,-0.2,NA,NA
Ricky Sobers,91.8,5.3,4.8,4.3,3.8,2.9,2.8,2.4,2.4,2.2,1,0.1,NA,NA,NA
Eric Gordon,90.4,5.3,4.7,4.6,3.8,3.2,2.9,2.6,2.5,2.1,1.1,0.7,NA,NA,NA
Arron Afflalo,90.0,6.2,5.3,5.3,4.3,2.7,2.6,2,1.9,1.8,1.4,0.1,NA,NA,NA
Greg Anthony,89.3,5.5,4.8,4.6,4.1,3.5,2.9,2.8,2.7,2.2,1.6,1.1,NA,NA,NA
Eric Piatkowski,89.2,5.5,4.5,3.9,3.6,2.3,2.3,2.3,2.3,2,1.2,0.9,0.1,0.1,0
Gerald Henderson,88.3,6.2,5.3,3.7,3.6,2.9,2.3,2.2,1.7,1.3,1.2,1.1,0.5,0,NA
Adrian Smith,88.0,6.1,5.2,5.1,4.4,3.4,2.6,1.9,1.8,1.5,0.8,0.5,NA,NA,NA
Jon Barry,87.9,7.5,5.6,4.2,3.9,2.8,2.4,2.4,2.4,2.1,1.8,1.1,0.9,0.4,-0.1
Jarrett Jack,87.4,5.6,4.8,4.8,4.1,3.8,3.2,2.6,2.4,2.3,1.2,1.2,0.9,0,NA
Thabo Sefolosha,86.3,6.8,4.5,4.1,4,3.3,3,2.6,2.5,2.2,1.8,1.5,1.5,0.8,NA
