Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1959-60,24,PHW,NBA,PG,9,NA,41.1,5.4,15.1,0.36,2.2,4,0.556,8.6,6,4.3,13.1
1960-61,25,PHW,NBA,PG,3,NA,40.3,7,19,0.368,3.7,6.7,0.55,7,5,5.3,17.7
1961-62,26,PHW,NBA,PG,12,NA,40.2,4.3,12.1,0.359,2.9,4.6,0.636,5.9,7.3,4.8,11.6
1963-64,28,SFW,NBA,PG,12,NA,34.9,4.8,14.4,0.329,2.8,3.9,0.702,4.8,7.5,3.8,12.3
1966-67,31,CHI,NBA,PG,3,NA,32.3,5,13.3,0.375,1.3,1.7,0.8,2,6,3.7,11.3
1969-70,34,MIL,NBA,PG,7,NA,9.7,0.6,2,0.286,1.3,1.7,0.75,0.6,3,1,2.4
Career,NA,,NBA,,46,NA,33.8,4.3,12.3,0.35,2.4,3.8,0.64,5.2,6.2,3.8,11
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,"PHW,SFW",NBA,,36,NA,38.7,5,14.2,0.35,2.8,4.4,0.627,6.3,6.9,4.4,12.7
1 season,NA,MIL,NBA,,7,NA,9.7,0.6,2,0.286,1.3,1.7,0.75,0.6,3,1,2.4
1 season,NA,CHI,NBA,,3,NA,32.3,5,13.3,0.375,1.3,1.7,0.8,2,6,3.7,11.3
