Thru 3 Years,Thru 3 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Matt Fish,,0.4,0.2,0
Jason Collier,87.0,0.4,0.3,0
Jabari Smith,82.1,0.5,0.2,0
Alan Ogg,76.9,0.5,0.3,0
George Zídek,74.9,0.6,0.3,0
Greg Dreiling,71.0,0.4,0.2,0.1
Tom Hoover,70.3,0.4,0.1,0
Didier Ilunga-Mbenga,69.2,0.5,0.1,0
Mamadou N'Diaye,69.2,0.6,0.3,0
Dwayne Schintzius,67.6,0.4,0.2,0.1
Kyrylo Fesenko,67.5,0.6,0.3,0
