Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Matt Fish,,0.4,0.2,0,NA,NA
Alan Ogg,76.9,0.5,0.3,0,NA,NA
George Zídek,74.9,0.6,0.3,0,NA,NA
Oleksiy Pecherov,66.8,0.5,0.1,0,NA,NA
Patrick O'Bryant,65.5,0.3,0.2,0,0,NA
Daniel Orton,50.3,0.5,0.3,0.3,NA,NA
Chris Welp,49.9,0.7,0.3,0,NA,NA
Paul Davis,45.0,0.2,0.2,0,0,NA
Olumide Oyedeji,41.1,0.4,0.4,0.3,NA,NA
Tom Riker,34.9,0.2,0.2,0,NA,NA
Chris Engler,30.8,0.3,0.2,0.2,0,0
