Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Kyle Singler,,4.4,2.3,2,1.1,0.3,0,NA,NA,NA
Harold Pressley,87.7,4.8,2.3,2.2,0.7,NA,NA,NA,NA,NA
Nemanja Bjelica,87.5,4.5,2.8,1.9,1.5,NA,NA,NA,NA,NA
Boštjan Nachbar,87.1,4.1,2.2,1.7,0.8,0.1,-0.1,NA,NA,NA
Collis Jones,86.4,4.2,3.2,2.1,1.2,NA,NA,NA,NA,NA
Brian Cook,85.5,4.5,2,1.8,1.1,0.6,0.4,0,-0.1,-0.2
Anthony Bonner,85.2,4.1,2.4,1.8,1.6,0.7,0,NA,NA,NA
Carl Herrera,84.4,4.6,2.1,2,0.5,0.1,0.1,-0.2,-0.3,NA
Tony Jaros,83.8,4.4,2.2,1.3,0.6,NA,NA,NA,NA,NA
Frank Card,83.0,4.2,2.6,2.4,1.9,0.1,NA,NA,NA,NA
Marv Roberts,82.8,4.3,3.4,2.4,1.2,0.4,-0.2,NA,NA,NA
