Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Qyntel Woods,,1.3,0.2,0,-0.2,NA,NA
Stephen Howard,85.2,1.3,0.2,0.1,0,NA,NA
Perry Jones,73.2,1.5,0.2,0,NA,NA,NA
Damjan Rudež,73.1,1.3,0.1,0.1,NA,NA,NA
Dwayne Jones,71.6,1.2,0.1,0.1,0,0,NA
Jackie Butler,71.4,1.2,0.1,0.1,NA,NA,NA
Mario Bennett,69.0,1.5,0.5,0,-0.1,NA,NA
Mark Pope,68.6,1.3,0.1,0,0,-0.1,-0.1
Roy Rogers,68.1,1.4,0.4,-0.1,NA,NA,NA
Brian Evans,67.4,1.5,0.1,0.1,NA,NA,NA
Damian Jones,65.9,1.5,0.1,0,NA,NA,NA
