Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Qyntel Woods,,1.3,0.2,0,-0.2
Mark Pope,85.6,1.3,0.1,0,-0.1
Stephen Howard,85.2,1.3,0.2,0.1,0
Dwayne Jones,75.0,1.2,0.1,0.1,0
Randolph Keys,74.0,1,0.3,0,-0.2
Perry Jones,73.2,1.5,0.2,0,NA
Damjan Rudež,73.1,1.3,0.1,0.1,NA
Jackie Butler,71.4,1.2,0.1,0.1,NA
Michael Bradley,70.0,1.5,0.2,0.1,0
Mario Bennett,69.0,1.5,0.5,0,-0.1
Roy Rogers,68.1,1.4,0.4,-0.1,NA
