Season,Team,Lg,Salary
1993-94,Indiana Pacers,NBA,"$833,000"
1994-95,Indiana Pacers,NBA,"$1,073,000"
1995-96,Indiana Pacers,NBA,"$1,313,000"
Career,(may be incomplete),,"$3,219,000"
