Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Dominic McGuire,,1.7,1.5,0.9,0.3,0,-0.2,NA
Charles Pittman,88.2,1.7,1.5,0.9,0.1,NA,NA,NA
Thomas Robinson,85.9,1.6,1.5,0.9,0.6,-0.1,NA,NA
Jan Veselý,80.6,1.7,1.6,0.7,NA,NA,NA,NA
Terry Driscoll,78.7,1.7,1.7,1.5,0.3,0,NA,NA
Rafael Addison,78.1,1.5,1.5,0.9,0.4,0.4,0.2,NA
Taurean Waller-Prince,77.9,2,1.5,1.1,NA,NA,NA,NA
Cliff Meely,77.7,1.8,1.2,1,0.4,0.2,NA,NA
Andrew Nicholson,77.7,1.7,1.6,0.6,0.1,-0.1,NA,NA
Tony Brown,76.8,1.8,1.3,0.9,0.5,0.2,0.2,0
Cliff Pondexter,76.0,2.2,1.5,1,NA,NA,NA,NA
