Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Dominic McGuire,,1.7,1.5,0.9,0.3,0,-0.2
Charles Pittman,88.2,1.7,1.5,0.9,0.1,NA,NA
Thomas Robinson,85.9,1.6,1.5,0.9,0.6,-0.1,NA
Reggie Slater,83.3,1.8,1.5,0.8,0.4,0.2,-0.1
Jan Veselý,80.6,1.7,1.6,0.7,NA,NA,NA
Terry Driscoll,78.7,1.7,1.7,1.5,0.3,0,NA
Rafael Addison,78.1,1.5,1.5,0.9,0.4,0.4,0.2
Taurean Waller-Prince,77.9,2,1.5,1.1,NA,NA,NA
Cliff Meely,77.7,1.8,1.2,1,0.4,0.2,NA
Andrew Nicholson,77.7,1.7,1.6,0.6,0.1,-0.1,NA
Brian Scalabrine,76.0,1.7,1.4,1,0.9,0.3,-0.1
