Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Eric Montross,,4.1,1.4,1.3,1.3,0.7,0.2,0,-0.4
Walt Wesley,82.9,4.1,1.7,1.2,1.2,1,0.7,-0.3,-0.4
Cole Aldrich,74.3,3.5,2.2,1.3,1.2,0.6,0.6,0.2,0
Art Spoelstra,71.0,3.7,1.8,1.7,1.4,NA,NA,NA,NA
Carlos Rogers,69.5,4,2.2,2,0.9,0.9,0.5,0.5,0
Connie Dierking,68.1,4.2,3,1.4,1,0.7,0.5,0.5,0.1
Jim McIlvaine,67.9,3,1.9,1.8,1.5,0.8,0.3,0.1,NA
Rich Niemann,67.5,4.4,1.4,1.2,0.2,NA,NA,NA,NA
Phil Jordon,67.4,5.2,1.9,1.5,0.7,0.6,0,-0.2,NA
Cherokee Parks,67.4,3.8,2.2,1.9,1.4,1.2,0.9,0.2,0
Miles Plumlee,67.1,4,2.6,2.2,0.9,0.5,0.5,0,NA
