,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1993-94,25,PHI,NBA,,1,5,0,1,1,5,2,2,0,1,1,1,1,0,3,3,3,1.3
1995-96,27,TOT,NBA,,5,11,2,5,5,8,6,8,3,4,6,3,2,1,3,6,17,14.3
1995-96,27,WSB,NBA,,3,4,0,2,3,3,2,2,1,1,2,1,1,0,1,2,6,5.4
1995-96,27,DET,NBA,,5,11,2,5,5,8,6,8,3,4,6,3,2,1,3,6,17,14.3
1996-97,28,DET,NBA,44:01,5,10,4,6,4,6,8,8,2,5,5,3,2,2,2,5,17,15.8
1997-98,29,MIL,NBA,48:00,9,15,2,3,9,14,8,8,3,3,5,7,4,2,3,6,25,20.8
1998-99,30,MIL,NBA,32:44,6,10,1,2,6,10,6,6,2,5,5,4,3,2,3,5,14,14.2
1999-00,31,DET,NBA,35:26,11,12,1,1,11,12,7,8,3,4,6,5,2,1,4,6,23,20.4
2000-01,32,DET,NBA,38:34,6,11,1,2,6,10,5,5,2,7,7,8,2,1,4,5,17,16.5
2001-02,33,DET,NBA,37:35,6,11,1,3,5,10,4,6,3,6,6,6,4,2,3,6,14,12.2
2002-03,34,DET,NBA,31:27,4,7,3,4,4,5,5,5,2,5,6,5,3,1,3,5,11,10.7
2003-04,35,TOR,NBA,32:10,4,7,1,3,4,7,6,6,2,4,4,3,2,1,3,6,10,8.9
2004-05,36,IND,NBA,26:53,3,4,0,0,3,4,3,4,2,5,5,3,2,2,1,5,6,5.7
Career,,,,48:00,11,15,4,6,11,14,8,8,3,7,7,8,4,2,4,6,25,20.8
6 Seasons,,DET,NBA,44:01,11,12,4,6,11,12,8,8,3,7,7,8,4,2,4,6,23,20.4
2 Seasons,,MIL,NBA,48:00,9,15,2,3,9,14,8,8,3,5,5,7,4,2,3,6,25,20.8
1 Season,,TOR,NBA,32:10,4,7,1,3,4,7,6,6,2,4,4,3,2,1,3,6,10,8.9
1 Season,,IND,NBA,26:53,3,4,0,0,3,4,3,4,2,5,5,3,2,2,1,5,6,5.7
1 Season,,PHI,NBA,,1,5,0,1,1,5,2,2,0,1,1,1,1,0,3,3,3,1.3
1 Season,,WSB,NBA,,3,4,0,2,3,3,2,2,1,1,2,1,1,0,1,2,6,5.4
