Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Michael Curry,,3.2,2.9,2.3,2,2,1.7,1.7,1.6,0.3,0.3,-0.2
Sidney Green,88.6,3.4,2.7,2.5,2,1.9,1.9,1.7,0.6,0.4,0.3,NA
Matt Bullard,83.2,3.4,2.6,2.5,2.4,1.8,1.7,1,0.6,0.5,0.2,0.1
Andrew DeClercq,82.4,3.4,3.1,2.9,2.6,2.5,1.7,1.6,1,0.4,0.1,NA
Corie Blount,82.3,3.1,2.6,2.5,1.9,1.8,1.7,1.2,1.1,0.9,0.8,0.7
Barry Clemens,82.2,3.5,3.5,2.8,1.8,1.7,1.6,1.6,1.1,0.9,0.1,0.1
Omri Casspi,81.6,3.6,2.7,2.5,2.5,2.4,2.2,1.3,1.2,0.7,0.5,NA
Francisco García,80.0,4.2,3,2.4,2.4,1.8,1.6,1.3,1,0.8,-0.2,NA
Greg Anderson,79.5,3.4,3.4,3,2.3,2.2,2,1.5,0.7,0.4,-0.3,NA
Chucky Brown,79.3,4.2,2.2,2.2,2.1,1.6,1.6,1.6,1.4,1.3,0.3,0
Brad Lohaus,79.0,3.3,2.7,2.7,1.8,1.5,1.3,0.9,0.9,0.1,0.1,-0.1
