,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1967-68,22,SFW,NBA,,2,3,0,0,0,0,0,4
1968-69,23,SFW,NBA,,6,12,1,3,2,2,4,12
Career,,,,,6,12,1,3,2,2,4,12
