Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Bobby Lewis,,1,0.7,-0.1,-0.4
Kendall Marshall,78.8,0.9,0.8,-0.2,-0.5
Tony Bennett,57.1,0.9,0.7,0,NA
Gerry Ward,56.1,1,0.4,-0.1,-0.2
Sundiata Gaines,55.9,1,0.5,-0.1,NA
Stan Pietkiewicz,52.9,1,0.6,0,NA
Phil Rollins,51.3,1.1,0.7,0.1,NA
Charlie Davis,51.2,0.8,0.7,-0.1,NA
Tarence Kinsey,50.2,0.9,0.6,0,NA
LaBradford Smith,46.2,0.8,0.8,-0.1,NA
Mike D'Antoni,44.5,1,0.8,0.3,0
