Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Bobby Lewis,,1,0.7,-0.1,-0.4
Kendall Marshall,78.8,0.9,0.8,-0.2,-0.5
Ish Smith,57.5,1,0.3,-0.1,-0.4
Tony Bennett,57.1,0.9,0.7,0,NA
Gerry Ward,56.1,1,0.4,-0.1,-0.2
Sundiata Gaines,55.9,1,0.5,-0.1,NA
Bernie Williams,55.5,1.1,0.8,0.1,-0.3
Stan Pietkiewicz,52.9,1,0.6,0,NA
Earl Boykins,52.4,1,0.8,0.3,-0.3
Phil Rollins,51.3,1.1,0.7,0.1,NA
Charlie Davis,51.2,0.8,0.7,-0.1,NA
