Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,,OWS,DWS,WS,WS/48
1968-69,25,INA,ABA,PF,12,41,-3.3,0.308,0,0,NA,NA,10.6,3,23.5,14.9,NA,-0.1,0,-0.1,-0.066
Career,NA,,ABA,,12,41,-3.3,0.308,0,0,NA,NA,10.6,3,23.5,14.9,NA,-0.1,0,-0.1,-0.066
