Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1973-74,30,LAL,NBA,SG,82,NA,3061,11,24.9,0.442,7.1,8.3,0.864,1.3,2.2,3.5,6,1.8,0.2,NA,3.2,29.1,NA,NA,101
1974-75,31,LAL,NBA,SG,72,NA,2668,11.1,24.2,0.459,5.4,6.4,0.841,1.6,2.1,3.7,7.1,1.7,0.1,NA,3.6,27.6,NA,NA,104
1975-76,32,LAL,NBA,SG,75,NA,2646,9.8,22.2,0.441,4.9,5.8,0.847,1.6,2,3.6,7.1,2.1,0.3,NA,4,24.5,NA,NA,102
1976-77,33,NOJ,NBA,SG,27,NA,609,10,22.4,0.446,5,6.2,0.8,1.8,2.6,4.5,5.4,1.6,0.1,NA,3.2,25,NA,NA,102
1977-78,34,NOJ,NBA,SG,81,NA,2553,9,18.2,0.495,4.6,5.8,0.795,1.3,1.8,3.1,6.7,1.4,0.4,3.6,3.2,22.6,NA,107,105
1978-79,35,NOJ,NBA,SG,74,NA,2130,7.9,17.6,0.449,3.6,4.2,0.853,1.4,2.4,3.8,7.4,1.9,0.3,3.8,3.7,19.5,NA,100,108
Career,NA,,NBA,,411,NA,13667,9.9,21.8,0.456,5.3,6.2,0.807,1.5,2.1,3.6,6.7,1.8,0.2,1.3,3.5,25,NA,104,104
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9 seasons,NA,LAL,NBA,,229,NA,8375,10.7,23.8,0.46,5.9,6.9,0.817,1.5,2.1,3.6,6.7,1.8,0.2,NA,3.6,27.2,NA,NA,102
3 seasons,NA,NOJ,NBA,,182,NA,5292,8.7,18.5,0.471,4.2,5.2,0.815,1.4,2.1,3.5,6.9,1.6,0.3,3.3,3.4,21.6,NA,104,106
2 seasons,NA,PHO,NBA,,0,NA,0,NA,NA,0.429,NA,NA,0.776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
