Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
1968-69,25,PHO,NBA,PG,1,0,6:00,2,4,0.5,1,2,0.5,NA,1,1,NA,NA,NA,1,5
1971-72,28,LAL,NBA,SG,1,1,14:00,2,7,0.286,0,0,NA,NA,1,2,NA,NA,NA,2,4
1972-73,29,LAL,NBA,SG,1,0,16:00,1,7,0.143,0,0,NA,NA,2,1,NA,NA,NA,2,2
1973-74,30,LAL,NBA,SG,1,1,26:00,9,16,0.563,0,0,NA,1,4,6,1,0,NA,2,18
1974-75,31,LAL,NBA,SG,1,1,15:00,2,4,0.5,0,0,NA,0,1,4,0,0,NA,1,4
Career,NA,,NBA,,5,3,77,16,38,0.421,1,2,0.5,1,9,14,1,0,NA,8,33
