Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1965-66,22,LAL,NBA,SG,11,290,12.5,0.518,0.467,NA,NA,NA,14.5,NA,NA,NA,NA,NA,0.4,0.2,0.5,0.088,NA,NA,NA,NA,NA
1966-67,23,LAL,NBA,SG,3,81,10.9,0.424,0.581,NA,NA,NA,16.5,NA,NA,NA,NA,NA,0,0,0,-0.01,NA,NA,NA,NA,NA
1967-68,24,LAL,NBA,SG,10,100,19.8,0.546,0.383,NA,NA,NA,20.3,NA,NA,NA,NA,NA,0.3,0.1,0.4,0.179,NA,NA,NA,NA,NA
1969-70,26,PHO,NBA,PG,7,265,17.1,0.532,0.297,NA,NA,NA,21.5,NA,NA,NA,NA,NA,0.6,0.3,0.9,0.159,NA,NA,NA,NA,NA
1970-71,27,LAL,NBA,SG,12,518,20,0.514,0.457,NA,NA,3.6,28,NA,NA,NA,NA,NA,1.2,0.2,1.4,0.131,NA,NA,NA,NA,NA
1971-72,28,LAL,NBA,SG,15,575,17.7,0.526,0.37,NA,NA,3,14.2,NA,NA,NA,NA,NA,1.3,0.6,2,0.166,NA,NA,NA,NA,NA
1972-73,29,LAL,NBA,SG,17,604,16.8,0.493,0.255,NA,NA,4.6,17.8,NA,NA,NA,NA,NA,0.9,0.6,1.5,0.119,NA,NA,NA,NA,NA
1973-74,30,LAL,NBA,SG,5,189,17.3,0.469,0.367,3.2,5,4,27.3,1.7,0.3,NA,NA,NA,0.2,0,0.2,0.043,NA,1.9,-0.7,1.2,0.2
Career,NA,,NBA,,80,2622,17.2,0.509,0.364,3.2,5,3.8,19.8,1.7,0.3,NA,NA,NA,4.8,2,6.8,0.125,NA,1.9,-0.7,1.2,0.2
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7 seasons,NA,LAL,NBA,,73,2357,17.2,0.507,0.372,3.2,5,3.8,19.6,1.7,0.3,NA,NA,NA,4.2,1.7,6,0.122,NA,1.9,-0.7,1.2,0.2
1 season,NA,PHO,NBA,,7,265,17.1,0.532,0.297,NA,NA,NA,21.5,NA,NA,NA,NA,NA,0.6,0.3,0.9,0.159,NA,NA,NA,NA,NA
