,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1965-66,22,LAL,NBA,,13,22,7,9,,,10,6,,,,4,28,
1966-67,23,LAL,NBA,,6,16,8,11,,,5,5,,,,3,20,
1967-68,24,LAL,NBA,,7,11,4,6,,,7,4,,,,2,17,
1969-70,26,PHO,NBA,,12,22,10,12,,,6,11,,,,4,34,
1970-71,27,LAL,NBA,,12,25,17,17,,,5,11,,,,5,39,
1971-72,28,LAL,NBA,,14,23,13,14,,,5,7,,,,5,32,
1972-73,29,LAL,NBA,,19,26,10,16,,,12,8,,,,6,44,
1973-74,30,LAL,NBA,,13,26,10,11,,,5,12,,,,2,31,
Career,,,,,19,26,17,17,,,12,12,,,,6,44,
7 Seasons,,LAL,NBA,,19,26,17,17,,,12,12,,,,6,44,
1 Season,,PHO,NBA,,12,22,10,12,,,6,11,,,,4,34,
