Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1965-66,22,LAL,NBA,SG,11,NA,290,43,92,0.467,29,43,0.674,NA,NA,42,33,NA,NA,NA,35,115
1966-67,23,LAL,NBA,SG,3,NA,81,11,31,0.355,11,18,0.611,NA,NA,9,10,NA,NA,NA,5,33
1967-68,24,LAL,NBA,SG,10,NA,100,23,47,0.489,14,18,0.778,NA,NA,14,14,NA,NA,NA,10,60
1969-70,26,PHO,NBA,PG,7,NA,265,56,118,0.475,30,35,0.857,NA,NA,32,38,NA,NA,NA,21,142
1970-71,27,LAL,NBA,SG,12,NA,518,105,247,0.425,95,113,0.841,NA,NA,38,91,NA,NA,NA,38,305
1971-72,28,LAL,NBA,SG,15,NA,575,130,292,0.445,97,108,0.898,NA,NA,38,50,NA,NA,NA,50,357
1972-73,29,LAL,NBA,SG,17,NA,604,139,310,0.448,62,79,0.785,NA,NA,61,67,NA,NA,NA,53,340
1973-74,30,LAL,NBA,SG,5,NA,189,35,90,0.389,28,33,0.848,7,9,16,30,7,1,NA,7,98
Career,NA,,NBA,,80,NA,2622,542,1227,0.442,366,447,0.819,7,9,250,333,7,1,NA,219,1450
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7 seasons,NA,LAL,NBA,,73,NA,2357,486,1109,0.438,336,412,0.816,7,9,218,295,7,1,NA,198,1308
1 season,NA,PHO,NBA,,7,NA,265,56,118,0.475,30,35,0.857,NA,NA,32,38,NA,NA,NA,21,142
