Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Jason Maxiell,,6.3,4.1,2.6,1.8,1.8,1.7,1.4,0.5,0.3,-0.2,NA
J.J. Hickson,88.0,6.9,4.3,3.3,1.8,1.7,1.5,1.5,0.8,NA,NA,NA
Glen Davis,84.4,4.9,3.7,2.5,2,1.7,1.6,1.4,0.8,NA,NA,NA
Derek Strong,83.2,4.4,4.1,2.4,2.1,1.9,1.6,1.5,0.3,0.2,0,NA
Tony Campbell,81.4,5.3,3.7,2.5,2.5,2.1,1.5,1.4,1.1,0.4,0.4,-0.3
Andrés Nocioni,81.3,6.7,4.1,3.3,2.8,2.5,1.3,1.3,-0.2,NA,NA,NA
Josh McRoberts,81.1,6.5,4.9,2.2,1.5,1.4,0.8,0.4,0.4,0.3,0.1,0
Markieff Morris,81.0,6.4,4.6,4.1,3.3,1.7,1.6,1.5,0.5,NA,NA,NA
Pervis Ellison,80.8,6.9,4,3.9,2.6,1.8,1.1,0.7,0.5,0.4,0,0
Kyle O'Quinn,80.6,4.8,3.9,2.5,1.6,1.6,1.4,1,NA,NA,NA,NA
Buck Johnson,80.4,6.2,4.6,3.6,2.3,2.1,1.2,0.7,NA,NA,NA,NA
