,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2005-06,22,DET,NBA,PF,26,159,,,2%,93%,4%,-27.3,-37.0,3,7,10,1,16,0,6,2,1
2006-07,23,DET,NBA,C,67,943,,,,36%,64%,+5.0,+0.3,8,24,53,10,69,16,30,13,21
2007-08,24,DET,NBA,C,82,1768,,,,44%,56%,+6.6,-3.6,15,26,99,15,133,17,106,28,33
2008-09,25,DET,NBA,C,78,1408,,,,42%,58%,-4.2,-5.7,3,17,91,17,83,6,49,18,26
2009-10,26,DET,NBA,C,76,1550,,,,35%,65%,-6.0,-0.2,14,25,72,17,75,11,90,13,35
2010-11,27,DET,NBA,PF,57,930,,,2%,88%,10%,-7.5,-4.7,12,19,45,8,43,3,36,7,26
2011-12,28,DET,NBA,PF,65,1466,,,1%,99%,1%,-3.2,+4.5,22,26,68,13,50,9,87,8,34
2012-13,29,DET,NBA,PF,72,1789,,,1%,99%,1%,-5.1,-1.4,27,22,83,19,64,9,128,9,22
2013-14,30,ORL,NBA,PF,34,488,,,14%,77%,8%,-9.9,-4.7,2,5,17,6,12,1,20,3,7
2014-15,31,CHO,NBA,PF,61,878,,,1%,97%,2%,-8.3,-6.2,9,7,50,9,25,7,42,4,19
Career,,,NBA,,618,11379,,,1%,67%,32%,-3.2,-2.5,115,178,588,115,570,79,594,105,224
,,,,,,,,,,,,,,,,,,,,,,
8 seasons,,DET,NBA,,523,10013,,,,64%,36%,-2.4,-2.0,104,166,521,100,533,71,532,98,198
1 season,,CHO,NBA,,61,878,,,1%,97%,2%,-8.3,-6.2,9,7,50,9,25,7,42,4,19
1 season,,ORL,NBA,,34,488,,,14%,77%,8%,-9.9,-4.7,2,5,17,6,12,1,20,3,7
