Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Malik Beasley,,4.5,0.3,0.2,NA,NA
Arvesta Kelly,86.1,4.9,0.4,0.3,0,-0.1
Ron Perry,78.2,4.4,1.4,0.3,NA,NA
Jeffrey Congdon,74.4,4.3,0.9,0.7,0.3,0
D'Angelo Russell,73.6,5,1.3,0.4,0,NA
Paul Thompson,67.8,3.7,1.1,0.1,NA,NA
Ernie Calverley,62.7,5.5,0.7,-0.5,NA,NA
Mel Riebe,60.6,4.2,2.2,0,NA,NA
Bobby Rascoe,60.2,4.2,1.9,-0.2,NA,NA
Walt Kirk,58.8,5,2.3,0.4,NA,NA
Earl Tatum,56.8,4.4,2.6,0.7,0,NA
