Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1970-71,22,FLO,ABA,NA,14,NA,101,8,22,0.364,0,1,0,8,21,0.381,0.364,6,9,0.667,2,2,4,13,22,18,22
Career,NA,,ABA,NA,14,NA,101,8,22,0.364,0,1,0,8,21,0.381,0.364,6,9,0.667,2,2,4,13,22,18,22
