Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Mark Eaton,,6.6,5.5,5.4,5.3,4.1,4,3.8,3.7,3.6,1.9,0.8
Theo Ratliff,92.9,6.7,5.6,5.4,5.2,5.2,4,3.9,3.8,2.3,2,0
Samuel Dalembert,90.8,6.9,6.9,6.2,5.2,4.1,4,3.9,3.6,2.9,2.2,0.3
Rick Mahorn,90.2,6.2,5.9,5.9,5.3,4.8,4.6,4.4,3.6,2.5,1.8,1.3
Brendan Haywood,88.8,6.8,6.7,5.2,5,3.9,3.8,3.4,3.1,2.9,2.7,0.2
Olden Polynice,85.5,6.7,5.3,5.2,5.1,4.5,3.3,2.6,2.5,1.6,1.5,1.5
Elden Campbell,85.2,8.2,7,6.4,5.5,4.7,4.3,4.2,3.8,3.3,2.6,1.1
Andrew Bogut,85.1,7.5,6.5,5.5,5.4,5.4,5.2,4.8,4,2.6,1.7,0.5
Jim Chones,85.0,6.4,6.2,6,5.9,5.8,4.7,3.5,3.3,2.6,1.4,NA
Jim Fox,85.0,6.6,6.4,6.1,5.6,4.6,3.9,3.4,2.4,2.2,0.6,NA
Rasho Nesterović,85.0,7.2,5.2,4.2,4.1,4.1,3.9,3.7,3,2.2,1.5,0
