Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Wang Zhizhi,,1.5,0.2,0.1,0.1,0.1
Bevo Nordmann,77.2,1.7,0.1,0.1,0,NA
Žan Tabak,61.5,1.1,0.2,0.1,0.1,0
Nate Bowman,60.9,1.3,0.1,0,0,0
Greg Dreiling,60.0,1.1,0.4,0.2,0.2,0.1
Josh Harrellson,59.6,1.4,0.7,0,NA,NA
Bernard James,58.3,1.2,0.5,0.1,NA,NA
Chris Johnson,57.9,1,0.2,0.2,NA,NA
Wallace Bryant,57.3,1.3,0,0,NA,NA
Jason Collier,56.9,1.2,0.4,0.3,0,0
George Johnson,56.0,2.4,0.3,0.2,0.1,NA
