Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Wang Zhizhi,,1.5,0.2,0.1,0.1,0.1,NA
Bevo Nordmann,77.2,1.7,0.1,0.1,0,NA,NA
Josh Harrellson,59.6,1.4,0.7,0,NA,NA,NA
Bernard James,58.3,1.2,0.5,0.1,NA,NA,NA
Chris Johnson,57.9,1,0.2,0.2,NA,NA,NA
Wallace Bryant,57.3,1.3,0,0,NA,NA,NA
Jason Collier,56.9,1.2,0.4,0.3,0,0,NA
Gene Tormohlen,56.6,1.4,0.8,0.1,0,0,0
George Johnson,56.0,2.4,0.3,0.2,0.1,NA,NA
Chris Anstey,55.0,1.9,0.6,0.3,NA,NA,NA
Zendon Hamilton,53.7,1.8,1.1,0.1,0.1,0,0
