,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1959-60,23,SYR,NBA,,7,22,5,6,,,7,2,,,3,19
1960-61,24,SYR,NBA,,10,22,6,8,,,,4,,,5,25
1962-63,26,LAL,NBA,,9,17,11,11,,,9,,,,5,26
1963-64,27,LAL,NBA,,8,15,8,9,,,3,5,,,4,24
1964-65,28,LAL,NBA,,13,22,6,8,,,6,8,,,5,31
1967-68,31,NYK,NBA,,13,26,5,8,,,9,7,,,6,30
1968-69,32,NYK,NBA,,12,21,9,11,,,6,5,,,5,27
1969-70,33,NYK,NBA,,14,,7,9,,,,,,,,29
1970-71,34,NYK,NBA,,13,23,7,9,,,8,6,,,4,29
1971-72,35,NYK,NBA,,7,17,3,4,,,3,3,,,4,17
1972-73,36,NYK,NBA,,1,2,0,0,,,0,2,,,2,2
Career,,,,,14,,11,11,,,,,,,,31
6 Seasons,,NYK,NBA,,14,,9,11,,,,,,,,30
3 Seasons,,LAL,NBA,,13,22,11,11,,,9,,,,5,31
2 Seasons,,SYR,NBA,,10,22,6,8,,,,4,,,5,25
