,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1959-60,23,SYR,NBA,,13,,8,9,,,,,,,5,27
1960-61,24,SYR,NBA,,15,,10,,,,,,,,,36
1962-63,26,LAL,NBA,,15,,15,,,,,,,,,38
1963-64,27,LAL,NBA,,13,,12,14,,,,,,,,38
1964-65,28,LAL,NBA,,13,,11,16,,,,,,,,34
1965-66,29,NYK,NBA,,18,,14,17,,,,,,,,41
1966-67,30,NYK,NBA,,13,,12,14,,,,,,,,35
1967-68,31,NYK,NBA,,15,,13,14,,,,,,,,32
1968-69,32,NYK,NBA,,15,,11,15,,,,,,,,35
1969-70,33,NYK,NBA,,12,,8,10,,,,,,,,28
1970-71,34,NYK,NBA,,14,,10,18,,,,,,,,31
1971-72,35,NYK,NBA,,12,,9,9,,,,,,,,26
1972-73,36,NYK,NBA,,7,,4,5,,,,,,,,14
1973-74,37,NYK,NBA,,4,7,2,3,,,1,2,,,1,10
Career,,,,,18,,15,,,,,,,,,41
9 Seasons,,NYK,NBA,,18,,14,18,,,,,,,,41
3 Seasons,,LAL,NBA,,15,,15,,,,,,,,,38
2 Seasons,,SYR,NBA,,15,,10,,,,,,,,,36
