Thru 14 Years,Thru 14 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dick Barnett,,8,8,7.8,7.7,6.8,6.5,5.8,5.5,4.7,3.4,2.6,2.2,0,-0.2
Rolando Blackman,89.2,9.8,8,7.3,7,6.8,6.8,5.7,5.7,5.5,4.1,3.8,2.9,2.4,NA
Ricky Pierce,89.0,9.4,8.3,7.9,7.8,7.7,6.7,5.8,4,3.1,3,2.2,1.8,1.5,-0.1
Mike Bibby,88.0,9.3,8.5,8.4,6.9,6.3,5.6,5.6,5.3,4.8,4.4,4,2.1,1.3,0.7
Fred Brown,87.4,8.8,7.9,6.7,6.4,6.1,5.2,5.2,4.9,3.9,3.6,2.8,2.6,-0.9,NA
Mike Conley,87.4,10,9.9,8.2,8,6.8,6.6,6.4,5.3,4.5,4,1.1,0.6,NA,NA
World B. Free,87.3,10.1,8,7.4,6.9,6.1,6,6,5.7,5.3,4.6,1.5,0.4,-0.2,NA
Earl Monroe,87.3,9.3,8.8,8.3,7.8,7.8,7.2,7.1,6.6,5.8,2.8,2.5,2.5,1.1,NA
Joe Johnson,87.0,8.4,7.6,7.6,7,6.4,6,5.1,5.1,4.9,4.2,4.1,3.3,3,2.8
Carl Braun,86.9,9,8.6,7.6,7.2,6.2,5.3,4.7,4.5,3.7,3.6,3,0.5,0.4,NA
Louie Dampier,86.9,10.1,9.5,8.5,8.1,7.4,7.2,6,5.4,5,4,1.6,1.2,NA,NA
