Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1959-60,23,SYR,NBA,SG,57,1235,15.1,0.452,0.257,NA,NA,NA,NA,NA,NA,NA,1.1,1.1,2.2,0.084,NA,NA,NA,NA,NA
1960-61,24,SYR,NBA,SG,78,2070,17.1,0.492,0.282,NA,NA,NA,NA,NA,NA,NA,4.1,1.7,5.8,0.135,NA,NA,NA,NA,NA
1962-63,26,LAL,NBA,SG,80,2544,16.3,0.533,0.362,NA,NA,NA,NA,NA,NA,NA,5.9,2.1,8,0.15,NA,NA,NA,NA,NA
1963-64,27,LAL,NBA,SG,78,2620,15.7,0.513,0.379,NA,NA,NA,NA,NA,NA,NA,5.3,1.2,6.5,0.119,NA,NA,NA,NA,NA
1964-65,28,LAL,NBA,SG,74,2026,13.3,0.483,0.372,NA,NA,NA,11.6,NA,NA,NA,2.5,0.9,3.4,0.081,NA,NA,NA,NA,NA
1965-66,29,NYK,NBA,SG,75,2589,18.4,0.537,0.45,NA,NA,NA,14.7,NA,NA,NA,7.5,0.5,8,0.149,NA,NA,NA,NA,NA
1966-67,30,NYK,NBA,SG,67,1969,15.6,0.528,0.311,NA,NA,NA,11.6,NA,NA,NA,4.2,0.5,4.7,0.114,NA,NA,NA,NA,NA
1967-68,31,NYK,NBA,SG,81,2488,16.4,0.54,0.38,NA,NA,NA,13.9,NA,NA,NA,6,1.8,7.7,0.149,NA,NA,NA,NA,NA
1968-69,32,NYK,NBA,SG,82,2953,14.3,0.516,0.33,NA,NA,NA,13.7,NA,NA,NA,5.2,2.6,7.8,0.126,NA,NA,NA,NA,NA
1969-70,33,NYK,NBA,SG,82,2772,12.9,0.516,0.313,NA,NA,NA,13.7,NA,NA,NA,3.1,3.7,6.8,0.117,NA,NA,NA,NA,NA
1970-71,34,NYK,NBA,SG,82,2843,12.3,0.487,0.235,NA,NA,3.8,10.8,NA,NA,NA,2,3.5,5.5,0.093,NA,NA,NA,NA,NA
1971-72,35,NYK,NBA,SG,79,2256,10.9,0.476,0.234,NA,NA,3.3,12.3,NA,NA,NA,0.7,1.9,2.6,0.055,NA,NA,NA,NA,NA
1972-73,36,NYK,NBA,SG,51,514,8.1,0.401,0.133,NA,NA,3.9,13,NA,NA,NA,-0.8,0.6,-0.2,-0.022,NA,NA,NA,NA,NA
1973-74,37,NYK,NBA,SG,5,58,9.4,0.403,0.115,1.8,5.4,3.6,14.6,0.8,0,NA,0,0,0,0.005,NA,-3.2,-0.4,-3.6,0
Career,NA,,NBA,,971,28937,14.7,0.508,0.327,1.8,5.4,3.6,12.9,0.8,0,NA,46.5,22.1,68.7,0.114,NA,-3.2,-0.4,-3.6,0
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9 seasons,NA,NYK,NBA,,604,18442,14.2,0.513,0.322,1.8,5.4,3.6,13,0.8,0,NA,27.7,15.1,42.8,0.111,NA,-3.2,-0.4,-3.6,0
3 seasons,NA,LAL,NBA,,232,7190,15.2,0.512,0.371,NA,NA,NA,11.6,NA,NA,NA,13.6,4.3,17.9,0.119,NA,NA,NA,NA,NA
2 seasons,NA,SYR,NBA,,135,3305,16.3,0.477,0.273,NA,NA,NA,NA,NA,NA,NA,5.2,2.8,8,0.116,NA,NA,NA,NA,NA
