Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,PF,PTS
1967-68,31,NYK,NBA,SG,1,0,22:00,7,12,0.583,1,2,0.5,NA,1,0,NA,NA,2,15
Career,NA,,NBA,,1,0,22,7,12,0.583,1,2,0.5,NA,1,0,NA,NA,2,15
