Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1961-62,23,TOT,NBA,SG,65,NA,1345,193,491,0.393,NA,NA,NA,193,491,0.393,0.393,123,216,0.569,NA,NA,183,154,NA,187,509
1961-62,23,LAL,NBA,SG,19,NA,171,22,59,0.373,NA,NA,NA,22,59,0.373,0.373,19,39,0.487,NA,NA,27,12,NA,40,63
1961-62,23,STL,NBA,SG,46,NA,1174,171,432,0.396,NA,NA,NA,171,432,0.396,0.396,104,177,0.588,NA,NA,156,142,NA,147,446
1967-68,29,ANA,ABA,SG,2,NA,19,2,7,0.286,0,0,NA,2,7,0.286,0.286,4,6,0.667,NA,NA,1,2,0,6,8
Career,NA,,TOT,,67,NA,1364,195,498,0.392,0,0,NA,195,498,0.392,0.392,127,222,0.572,NA,NA,184,156,0,193,517
,NA,,NBA,,65,NA,1345,193,491,0.393,NA,NA,NA,193,491,0.393,0.393,123,216,0.569,NA,NA,183,154,NA,187,509
,NA,,ABA,,2,NA,19,2,7,0.286,0,0,NA,2,7,0.286,0.286,4,6,0.667,NA,NA,1,2,0,6,8
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,STL,NBA,,46,NA,1174,171,432,0.396,NA,NA,NA,171,432,0.396,0.396,104,177,0.588,NA,NA,156,142,NA,147,446
1 season,NA,LAL,NBA,,19,NA,171,22,59,0.373,NA,NA,NA,22,59,0.373,0.373,19,39,0.487,NA,NA,27,12,NA,40,63
1 season,NA,ANA,ABA,,2,NA,19,2,7,0.286,0,0,NA,2,7,0.286,0.286,4,6,0.667,NA,NA,1,2,0,6,8
