Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1961-62,23,TOT,NBA,SG,65,NA,1345,5.2,13.1,0.393,NA,NA,NA,5.2,13.1,0.393,3.3,5.8,0.569,NA,NA,4.9,4.1,NA,5,13.6
1961-62,23,LAL,NBA,SG,19,NA,171,4.6,12.4,0.373,NA,NA,NA,4.6,12.4,0.373,4,8.2,0.487,NA,NA,5.7,2.5,NA,8.4,13.3
1961-62,23,STL,NBA,SG,46,NA,1174,5.2,13.2,0.396,NA,NA,NA,5.2,13.2,0.396,3.2,5.4,0.588,NA,NA,4.8,4.4,NA,4.5,13.7
1967-68,29,ANA,ABA,SG,2,NA,19,3.8,13.3,0.286,0,0,NA,3.8,13.3,0.286,7.6,11.4,0.667,NA,NA,1.9,3.8,0,11.4,15.2
Career,NA,,TOT,,67,NA,1364,5.1,13.1,0.392,0,0,NA,5.1,13.1,0.392,3.4,5.9,0.572,NA,NA,4.9,4.1,0,5.1,13.6
,NA,,NBA,,65,NA,1345,5.2,13.1,0.393,NA,NA,NA,5.2,13.1,0.393,3.3,5.8,0.569,NA,NA,4.9,4.1,NA,5,13.6
,NA,,ABA,,2,NA,19,3.8,13.3,0.286,0,0,NA,3.8,13.3,0.286,7.6,11.4,0.667,NA,NA,1.9,3.8,0,11.4,15.2
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,STL,NBA,,46,NA,1174,5.2,13.2,0.396,NA,NA,NA,5.2,13.2,0.396,3.2,5.4,0.588,NA,NA,4.8,4.4,NA,4.5,13.7
1 season,NA,LAL,NBA,,19,NA,171,4.6,12.4,0.373,NA,NA,NA,4.6,12.4,0.373,4,8.2,0.487,NA,NA,5.7,2.5,NA,8.4,13.3
1 season,NA,ANA,ABA,,2,NA,19,3.8,13.3,0.286,0,0,NA,3.8,13.3,0.286,7.6,11.4,0.667,NA,NA,1.9,3.8,0,11.4,15.2
