Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,,OWS,DWS,WS,WS/48
1961-62,23,TOT,NBA,SG,65,1345,9,0.434,NA,0.44,NA,NA,NA,NA,NA,NA,NA,-0.1,0.5,0.4,0.015
1961-62,23,LAL,NBA,SG,19,171,5.9,0.414,NA,0.661,NA,NA,NA,NA,NA,NA,NA,-0.1,0.1,0,0.007
1961-62,23,STL,NBA,SG,46,1174,9.4,0.437,NA,0.41,NA,NA,NA,NA,NA,NA,NA,0,0.4,0.4,0.016
1967-68,29,ANA,ABA,SG,2,19,6.9,0.415,0,0.857,NA,NA,2.3,14.3,0,18.3,NA,0,0,0,-0.023
Career,NA,,TOT,,67,1364,9,0.434,0,0.446,NA,NA,2.3,14.3,0,18.3,NA,-0.1,0.5,0.4,0.014
,NA,,NBA,,65,1345,9,0.434,NA,0.44,NA,NA,NA,NA,NA,NA,NA,-0.1,0.5,0.4,0.015
,NA,,ABA,,2,19,6.9,0.415,0,0.857,NA,NA,2.3,14.3,0,18.3,NA,0,0,0,-0.023
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,STL,NBA,,46,1174,9.4,0.437,NA,0.41,NA,NA,NA,NA,NA,NA,NA,0,0.4,0.4,0.016
1 season,NA,LAL,NBA,,19,171,5.9,0.414,NA,0.661,NA,NA,NA,NA,NA,NA,NA,-0.1,0.1,0,0.007
1 season,NA,ANA,ABA,,2,19,6.9,0.415,0,0.857,NA,NA,2.3,14.3,0,18.3,NA,0,0,0,-0.023
