,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1961-62,23,TOT,NBA,,11,,,,,,7,,,,,,,,28
1961-62,23,LAL,NBA,,5,,,,,,4,6,,,,,,,11
1961-62,23,STL,NBA,,11,,,,,,7,,,,,,,,28
1967-68,29,ANA,ABA,,2,,0,,,,4,6,,,,,,,8
Career,,,TOT,,11,,,,,,7,,,,,,,,28
,,,NBA,,11,,,,,,7,,,,,,,,28
,,,ABA,,2,,0,,,,4,6,,,,,,,8
,,,,,,,,,,,,,,,,,,,
1 Season,,STL,NBA,,11,,,,,,7,,,,,,,,28
1 Season,,LAL,NBA,,5,,,,,,4,6,,,,,,,11
1 Season,,ANA,ABA,,2,,0,,,,4,6,,,,,,,8
