Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Kerry Kittles,,8.4,7.7,7.7,7.6,6.9,4.7,1.8,0.2
Richard Hamilton,93.9,8.1,8.1,7.6,7.4,7.3,4,2.4,0.7
Danny Ainge,91.2,8.6,6.8,6.7,6.7,6.6,5.2,1.8,0.5
Bob Davies,90.2,8.6,7.7,7.7,7.4,6.9,6.3,5.2,NA
B.J. Armstrong,89.2,8.1,7.5,7.5,7,4.6,4.1,1.7,1.3
Michael Adams,88.9,8.3,7.5,6.9,6.3,5.3,4.6,2.7,-0.1
Andy Phillip,88.2,9.7,7.7,7.4,7.1,5.5,4.8,3.8,NA
Freddie Lewis,88.0,7.6,7.5,7.2,6.2,6,5.2,3,0
Dick Barnett,87.6,8,8,7.7,6.5,5.8,4.7,3.4,2.2
Fred Brown,87.6,8.8,7.9,6.7,6.4,6.1,5.2,2.8,-0.9
Jeff Teague,87.6,8.1,7.7,6.1,6,5.9,5.2,1.7,0.6
