Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,,OWS,DWS,WS,WS/48
1954-55,22,SYR,NBA,C,72,1529,18.2,0.462,0.311,NA,NA,NA,NA,NA,2,3,5,0.157
1955-56,23,SYR,NBA,C,72,2114,15.7,0.447,0.338,NA,NA,NA,NA,NA,1.4,3.3,4.6,0.105
1956-57,24,SYR,NBA,C,72,2191,17.3,0.462,0.378,NA,NA,NA,NA,NA,2.7,2.7,5.4,0.117
1957-58,25,SYR,NBA,C,72,2384,17.9,0.454,0.414,NA,NA,NA,NA,NA,2.6,3.2,5.8,0.118
1958-59,26,SYR,NBA,C,72,2671,19.4,0.494,0.322,NA,NA,NA,NA,NA,5.2,3.6,8.7,0.157
1959-60,27,SYR,NBA,C,75,2372,15.7,0.443,0.279,NA,NA,NA,NA,NA,1,2.8,3.8,0.078
1960-61,28,SYR,NBA,C,79,2676,13.7,0.445,0.283,NA,NA,NA,NA,NA,0.8,3.1,3.9,0.07
1961-62,29,SYR,NBA,C,80,2768,17.4,0.482,0.248,NA,NA,NA,NA,NA,2.9,4.9,7.8,0.136
1962-63,30,SYR,NBA,C,80,2561,18.6,0.519,0.299,NA,NA,NA,NA,NA,4.1,3.6,7.7,0.144
1963-64,31,PHI,NBA,C,80,2938,17.1,0.476,0.286,NA,NA,NA,NA,NA,2.3,2.6,4.9,0.08
1964-65,32,PHI,NBA,C,80,1810,13.2,0.412,0.254,NA,NA,NA,14.8,NA,-1.2,2.1,0.9,0.024
1965-66,33,BAL,NBA,C,71,1770,16.3,0.481,0.393,NA,NA,NA,16.4,NA,1.5,1.6,3.1,0.085
Career,NA,,NBA,,905,27784,16.8,0.467,0.313,NA,NA,NA,15.6,NA,25.4,36.4,61.8,0.107
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11 seasons,NA,"SYR,PHI",NBA,,834,26014,16.8,0.466,0.308,NA,NA,NA,14.8,NA,23.9,34.8,58.7,0.108
1 season,NA,BAL,NBA,,71,1770,16.3,0.481,0.393,NA,NA,NA,16.4,NA,1.5,1.6,3.1,0.085
