,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1954-55,22,SYR,NBA,,11,,8,12,,,5,27
1955-56,23,SYR,NBA,,10,17,3,7,14,4,4,23
1956-57,24,SYR,NBA,,10,20,7,10,21,,3,25
1957-58,25,SYR,NBA,,7,19,6,7,22,3,3,18
1958-59,26,SYR,NBA,,11,,12,13,18,,3,34
1959-60,27,SYR,NBA,,9,21,7,7,11,4,4,25
1960-61,28,SYR,NBA,,7,19,6,6,21,5,4,17
1961-62,29,SYR,NBA,,12,24,3,4,22,4,5,27
1962-63,30,SYR,NBA,,6,,4,,,,4,16
1963-64,31,PHI,NBA,,13,22,5,6,19,,,31
1964-65,32,PHI,NBA,,6,13,3,4,10,7,5,15
1965-66,33,BAL,NBA,,2,8,1,2,10,3,3,4
Career,,,,,13,,12,,,,,34
11 Seasons,,"PHI,SYR",NBA,,13,,12,,,,,34
1 Season,,BAL,NBA,,2,8,1,2,10,3,3,4
