Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Red Kerr,,8.7,7.8,7.7,5.8,5.4,5,4.9,4.6,3.9,3.8,3.1,0.9,NA,NA,NA,NA,NA,NA
Mychal Thompson,89.8,8.2,6.9,6.1,5.4,5.3,5.2,4.7,4.6,4.4,3.7,2.6,2.1,NA,NA,NA,NA,NA,NA
Tree Rollins,89.7,9.2,7.3,6.4,6.4,5.5,5,4.9,4.1,3.8,3.4,2.6,1.7,1,0.9,0.7,0.5,0.2,0.1
Elden Campbell,89.2,8.2,7.6,7,6.4,5.5,4.7,4.3,4.2,3.8,3.3,2.6,2.1,2,1.1,0,NA,NA,NA
Marcin Gortat,86.6,8.6,8.1,7.6,7.3,6.8,6.4,4.9,3.4,3.4,3.3,1.4,0.1,NA,NA,NA,NA,NA,NA
Brook Lopez,86.1,9,7.9,7,6.7,6.3,6.2,5.8,4.9,3.8,2.3,0.3,NA,NA,NA,NA,NA,NA,NA
Rik Smits,85.7,7.8,7.2,6.6,6.1,5,4.3,3.8,3.4,3.4,3.3,2.9,2.7,NA,NA,NA,NA,NA,NA
James Donaldson,85.6,10.4,6.2,5.8,5.7,5.6,5.1,5,4.5,4.4,4.3,2.5,1.4,1,0.2,NA,NA,NA,NA
Byron Beck,84.9,8.1,7.7,6.4,5.9,5.7,5.7,5.3,5.1,4.4,0.8,NA,NA,NA,NA,NA,NA,NA,NA
Caldwell Jones,84.7,8.1,7.6,6.2,5.5,5.2,5,4.4,4.1,3.9,3.1,2.7,2.6,2.5,2.3,1.3,0.9,0.8,NA
Mike Gminski,84.6,9.2,7,6.5,6.1,6,5.4,4.3,4,2.9,1.8,1.5,0.5,0.5,0,NA,NA,NA,NA
