,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1954-55,22,SYR,NBA,,10,,10,10,,,6,28
1955-56,23,SYR,NBA,,13,,7,13,,,6,29
1956-57,24,SYR,NBA,,13,,8,13,,,6,32
1957-58,25,SYR,NBA,,16,,12,15,,,,42
1958-59,26,SYR,NBA,,13,,11,19,,,,33
1959-60,27,SYR,NBA,,16,,10,14,,,,38
1960-61,28,SYR,NBA,,10,,9,,,,,22
1961-62,29,SYR,NBA,,16,,9,,,,,36
1962-63,30,SYR,NBA,,13,,12,,,,,31
1963-64,31,PHI,NBA,,15,,9,11,,,,36
1964-65,32,PHI,NBA,,11,24,7,9,20,,6,25
1965-66,33,BAL,NBA,,13,,11,15,,,,36
Career,,,,,16,,12,,,,,42
11 Seasons,,"PHI,SYR",NBA,,16,,12,,,,,42
1 Season,,BAL,NBA,,13,,11,15,,,,36
