Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Red Kerr,,8.7,7.8,7.7,5.8,5.4,5,4.9,4.6,3.9,3.8,3.1,0.9
Tree Rollins,92.6,9.2,7.3,6.4,6.4,5.5,5,4.9,4.1,3.8,3.4,2.6,1
Elden Campbell,92.4,8.2,7.6,7,6.4,5.5,4.7,4.3,4.2,3.8,3.3,2.6,1.1
Caldwell Jones,91.1,8.1,7.6,6.2,5.5,5.2,5,4.4,4.1,3.9,3.1,2.5,0.9
Mychal Thompson,89.8,8.2,6.9,6.1,5.4,5.3,5.2,4.7,4.6,4.4,3.7,2.6,2.1
Marcin Gortat,86.6,8.6,8.1,7.6,7.3,6.8,6.4,4.9,3.4,3.4,3.3,1.4,0.1
James Donaldson,86.5,10.4,6.2,5.8,5.7,5.6,5.1,5,4.5,4.4,4.3,2.5,1.4
Brook Lopez,86.1,9,7.9,7,6.7,6.3,6.2,5.8,4.9,3.8,2.3,0.3,NA
Marcus Camby,85.8,10.3,8.5,7.6,6.9,5.9,5.8,5.5,3.7,3.5,2.1,1.5,0.9
Rik Smits,85.7,7.8,7.2,6.6,6.1,5,4.3,3.8,3.4,3.4,3.3,2.9,2.7
Al Jefferson,85.5,7.8,7.8,7.7,7.7,7.5,6.6,4.9,4.7,4.6,2.8,2.7,2.3
