Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Zach LaVine,,3,2.8,2.6,0.3,-0.7,NA,NA,NA
Dick Farley,87.2,3,2.8,2.5,NA,NA,NA,NA,NA
Lorenzo Romar,83.1,2.7,2.6,2.4,0.5,-0.1,NA,NA,NA
Eldridge Recasner,82.6,2.9,2.6,2.5,0.8,0.1,0,0,0
Ken Charles,76.2,3.3,3,2.3,0.6,0.6,NA,NA,NA
Mervin Jackson,73.7,3.1,3.1,1.8,-0.2,-0.2,NA,NA,NA
Dennis Hopson,71.9,3.1,2.1,1.7,0.5,-0.3,NA,NA,NA
Tyus Jones,71.3,3.6,3,1.5,0.3,NA,NA,NA,NA
Oliver Taylor,70.9,3.9,3.8,2.8,0.4,NA,NA,NA,NA
Pablo Prigioni,70.2,3.4,3.2,2.3,1.5,NA,NA,NA,NA
Jerian Grant,69.5,3.3,2.5,1.7,0.8,NA,NA,NA,NA
