Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Zach LaVine,,3,2.8,2.6,0.3,-0.7
Dick Farley,87.2,3,2.8,2.5,NA,NA
Eldridge Recasner,83.9,2.9,2.6,2.5,0.8,0
Lorenzo Romar,83.1,2.7,2.6,2.4,0.5,-0.1
Kevin Loughery,82.1,3.6,2.6,2.5,0.1,-0.3
Mike McGee,81.3,3,2.8,1.9,0.2,0.2
Ken Charles,76.2,3.3,3,2.3,0.6,0.6
Brandon Rush,76.2,3.5,2.6,2.5,0.9,0
Geoff Huston,76.0,3.4,3,2.6,1.7,-0.3
Sam Vincent,75.7,3.3,2.4,2.3,0.5,0.3
J.J. Barea,75.6,3.2,2.2,2.2,0.5,0.1
