,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1971-72,23,DET,NBA,,8,,,,,,5,5,,,,,,,,,16
1972-73,24,MMT,ABA,,12,,1,,,,8,11,,,,,,,,,29
Career,,,TOT,,12,,,,,,8,11,,,,,,,,,29
,,,NBA,,8,,,,,,5,5,,,,,,,,,16
,,,ABA,,12,,1,,,,8,11,,,,,,,,,29
,,,,,,,,,,,,,,,,,,,,,
1 Season,,DET,NBA,,8,,,,,,5,5,,,,,,,,,16
1 Season,,MMT,ABA,,12,,1,,,,8,11,,,,,,,,,29
