Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
1988-89,26,UTA,NBA,PG,1,1,32:00,5,6,0.833,1,1,1,0,0,NA,0,2,17,5,0,12,4,11
1989-90,27,UTA,NBA,PG,1,1,15:00,1,4,0.25,0,1,0,0,0,NA,0,0,6,1,1,3,1,2
1990-91,28,UTA,NBA,PG,1,0,12:00,1,6,0.167,0,1,0,2,4,0.5,0,1,2,0,0,0,2,4
1991-92,29,UTA,NBA,PG,1,0,18:00,5,8,0.625,2,3,0.667,0,0,NA,0,1,5,3,0,3,2,12
1992-93,30,UTA,NBA,PG,1,1,31:00,3,6,0.5,1,2,0.5,2,2,1,0,6,15,2,0,5,3,9
1993-94,31,UTA,NBA,PG,1,0,26:00,6,10,0.6,1,1,1,0,0,NA,1,5,10,1,0,4,2,13
1994-95,32,UTA,NBA,PG,1,0,14:00,2,6,0.333,0,3,0,0,0,NA,1,1,6,2,0,0,0,4
1995-96,33,UTA,NBA,PG,1,0,18:00,2,9,0.222,0,7,0,0,0,NA,0,1,3,0,0,1,2,4
1996-97,34,UTA,NBA,PG,1,1,20:00,5,6,0.833,2,2,1,0,0,NA,0,0,5,1,0,1,2,12
1999-00,37,UTA,NBA,PG,1,0,11:00,5,5,1,0,0,NA,0,0,NA,0,0,2,1,0,0,2,10
Career,NA,,NBA,,10,4,197,35,66,0.53,7,21,0.333,4,6,0.667,2,17,71,16,1,29,20,81
