Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Rich Kelley,,8.6,6.4,4.8,4.3,4.3,4.3,2.5,2.4,2.4,1.7,0.7,NA,NA,NA,NA,NA,NA,NA
Robin Lopez,86.9,9.5,5.8,5.6,5.1,4.3,3.2,2.7,2.1,1.9,1.5,1.1,NA,NA,NA,NA,NA,NA,NA
Danny Schayes,86.9,8.8,6.8,5.6,4.6,4.5,3.9,2.8,2,2,1.7,1.4,1.4,1.2,0.9,0.6,0.4,0,0
Mark West,85.2,8.2,6.5,5.5,3.9,3.4,3.1,2.4,1.9,1.8,1.6,1.1,0.9,0.8,0.7,0.2,0,-0.1,NA
Rasho Nesterović,85.0,7.2,5.2,4.2,4.1,4.1,3.9,3.7,3,2.2,1.5,0.8,0,NA,NA,NA,NA,NA,NA
Darryl Dawkins,84.8,7.9,6.4,6.3,5.7,4.6,4.4,4,2.9,2.1,2.1,0.1,0.1,0,-0.2,NA,NA,NA,NA
Shawn Bradley,84.7,7.4,6.3,5.1,4.2,3.5,3,3,2.9,2.3,2.3,1.9,-1.1,NA,NA,NA,NA,NA,NA
Brendan Haywood,83.5,6.8,6.7,5.2,5,3.9,3.8,3.4,3.1,2.9,2.7,0.2,0.1,0,NA,NA,NA,NA,NA
Wayne Embry,82.0,6.7,6.3,5.6,4.5,3.4,3.4,2,1.9,1.5,1.2,1.1,NA,NA,NA,NA,NA,NA,NA
Roy Hibbert,81.7,6.2,6.1,5.4,4.2,4.1,3.6,2.2,2.1,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jim Fox,81.4,6.6,6.4,6.1,5.6,4.6,3.9,3.4,2.4,2.2,0.6,NA,NA,NA,NA,NA,NA,NA,NA
