Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Paul Westphal,,10.5,10.4,9.8,9.6,9.6,5.1,3.7,3.2,2.4,1.5,1.4,0.3
Mark Price,91.1,11.3,10.1,10,9.8,9.1,7.8,4.2,4,2,1.7,1.1,0
DeMar DeRozan,86.6,9.9,9.6,9,8.8,6.3,4.7,4,3.2,2.5,2.3,NA,NA
Donnie Freeman,85.7,9.9,9.7,8.9,7.6,7.3,5.1,3.7,3.4,2.4,NA,NA,NA
Fat Lever,84.7,10.4,9.7,9.2,8.8,5.2,4.8,4.5,4.4,2.9,1.3,0,NA
Mookie Blaylock,83.6,12.5,10.2,9.4,9,7,5.6,4.9,4.7,3.5,3.3,2.1,-0.3
Mack Calvin,83.2,10.4,9,8.8,8.5,8.5,7.7,2.8,1.8,1.5,1.4,0,NA
Gus Williams,83.1,11.6,10.2,8.5,8.3,7.7,5.9,5.1,4.2,3.6,2.8,0.1,NA
Jeff Mullins,82.9,10,9.9,8.3,8.2,6.8,5.7,5.6,4.5,2.3,0.9,0.8,-0.3
Dale Ellis,82.4,10.8,9.3,9,7.6,6.4,6.4,4.8,3.4,3.2,2.4,1.6,1.5
Terrell Brandon,82.2,12.7,10.8,8.6,8.5,5.6,5.1,3.9,3.7,3.2,2.9,0.9,NA
