Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Dennis Wuycik,,1.4,0.9,-0.1,NA,NA
Brian Rowsom,89.8,1.5,1,0,NA,NA
Kevin Loder,85.4,1.5,0.9,0.1,NA,NA
Derrick Alston,82.5,1.7,1,-0.1,NA,NA
Lou Tsioropoulos,82.5,1.4,0.7,0,NA,NA
Walter Piatkowski,80.4,1.2,0.8,-0.2,NA,NA
Derrick Chievous,79.5,1.6,1.2,-0.1,NA,NA
Adrian Branch,73.7,1.5,0.7,0,-0.1,NA
Bob McCann,73.0,1.3,0.6,0.1,0.1,0
Chris McNealy,72.9,1.6,0.8,0.2,NA,NA
James Wilkes,72.5,1.1,0.8,0.1,NA,NA
