Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Lee Nailon,,3.5,2.2,0.9,0.7,0.5,0.3,NA,NA,NA,NA
Mirza Teletović,87.1,3.8,2.7,0.9,0.6,0.5,0.3,NA,NA,NA,NA
Mark Strickland,85.0,2.8,2.2,1,0.6,0.5,0,0,0,NA,NA
Darko Miličić,83.0,3.3,1.9,1.2,0.7,0.2,0.2,0,-0.1,-0.2,-0.2
Mark Alarie,82.6,3.1,2.2,1.5,0.9,0.6,NA,NA,NA,NA,NA
Trey Lyles,82.5,3.9,2.3,1.2,0.8,NA,NA,NA,NA,NA,NA
James Singleton,82.3,3,2.3,1.1,1,0.7,NA,NA,NA,NA,NA
Ira Newble,81.3,3.3,2.3,1.9,0.9,0.5,0.2,0.1,0.1,NA,NA
Darren Daye,80.7,3.8,2.4,1.3,1.2,0.6,NA,NA,NA,NA,NA
Barney Cable,80.1,3.3,1.6,0.7,0.4,0.3,0.1,NA,NA,NA,NA
Lorenzo Williams,80.0,3.1,1.7,1.1,0.4,0.4,0.3,0.3,NA,NA,NA
