Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Lee Nailon,,3.5,2.2,0.9,0.7,0.5,0.3
Steve Novak,89.3,3.9,2.2,1.1,0.9,0.4,0.3
Mirza Teletović,87.1,3.8,2.7,0.9,0.6,0.5,0.3
Matt Bullard,83.0,3.4,2.4,1.7,1,0.6,0.2
Mark Alarie,82.6,3.1,2.2,1.5,0.9,0.6,NA
Trey Lyles,82.5,3.9,2.3,1.2,0.8,NA,NA
James Singleton,82.3,3,2.3,1.1,1,0.7,NA
Lorenzo Williams,82.3,3.1,1.7,1.1,0.4,0.4,0.3
Corey Brewer,81.9,3.9,2.3,1.1,1,0.3,-0.2
Jared Jeffries,81.9,3.1,2.6,1.2,0.6,0.3,0.1
Darren Daye,80.7,3.8,2.4,1.3,1.2,0.6,NA
