Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Joey Graham,,3,2.2,1.3,1.1,0.3,0,NA,NA
James Singleton,90.5,3,2.3,1.1,1,0.7,NA,NA,NA
Sam Mack,90.2,2.8,1.9,1.3,1.1,0.3,0,-0.1,NA
Mark Alarie,88.5,3.1,2.2,1.5,0.9,0.6,NA,NA,NA
Brady Walker,88.2,2.8,1.9,1.2,1,NA,NA,NA,NA
Noah Vonleh,84.8,3.2,1.8,1.6,1.2,0.5,NA,NA,NA
Bruce Seals,84.0,2.9,2.4,1.6,0.6,0.3,NA,NA,NA
Simmie Hill,83.9,3.1,1.6,1.2,1,NA,NA,NA,NA
Mark Strickland,83.2,2.8,2.2,1,0.6,0.5,0,0,0
Cristiano Felício,82.8,3.4,1.7,1.4,1.2,NA,NA,NA,NA
Joel Kramer,82.8,3,2.9,1.4,1,0.8,NA,NA,NA
