Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Tarence Kinsey,,0.9,0.6,0,NA,NA
Tony Bennett,91.4,0.9,0.7,0,NA,NA
Stan Pietkiewicz,89.4,1,0.6,0,NA,NA
Kris Dunn,88.2,0.9,0.6,0.1,NA,NA
Zoran Planinić,85.0,0.8,0.7,0.1,NA,NA
Sundiata Gaines,84.9,1,0.5,-0.1,NA,NA
Phil Rollins,83.6,1.1,0.7,0.1,NA,NA
Bryan Warrick,82.5,1,0.5,0.1,0,NA
Eddie Hughes,80.1,1,0.4,0,NA,NA
LaBradford Smith,77.7,0.8,0.8,-0.1,NA,NA
Litterial Green,75.6,0.8,0.8,0.1,0,-0.1
