Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Corie Blount,,3.1,2.6,2.5,1.9,1.8,1.7,1.2,1.1,0.9,0.8,0.7
Jud Buechler,85.6,2.9,2.3,1.9,1.8,1.5,1.5,1.2,1.2,0.5,0.5,0.4
Matt Bullard,84.6,3.4,2.6,2.5,2.4,1.8,1.7,1,0.6,0.5,0.2,0.1
Sidney Green,83.6,3.4,2.7,2.5,2,1.9,1.9,1.7,0.6,0.4,0.3,NA
Barry Clemens,82.6,3.5,3.5,2.8,1.8,1.7,1.6,1.6,1.1,0.9,0.1,0.1
Michael Curry,82.3,3.2,2.9,2.3,2,2,1.7,1.7,1.6,0.3,0.3,-0.2
Omri Casspi,81.9,3.6,2.7,2.5,2.5,2.4,2.2,1.3,1.2,0.7,0.5,NA
Tom Hammonds,81.1,2.6,2.4,2.2,1.8,1.7,1,0.8,0.8,0.6,0.5,0.5
Brad Lohaus,80.3,3.3,2.7,2.7,1.8,1.5,1.3,0.9,0.9,0.1,0.1,-0.1
Mike Sanders,79.9,3.9,3.1,2.7,2,1.8,1.2,1,0.8,0.8,0.6,0.1
Francisco García,79.0,4.2,3,2.4,2.4,1.8,1.6,1.3,1,0.8,-0.2,NA
