Season,Team,Lg,Salary
1993-94,Chicago Bulls,NBA,"$620,000"
1994-95,Chicago Bulls,NBA,"$845,000"
1995-96,Los Angeles Lakers,NBA,"$1,040,000"
1996-97,Los Angeles Lakers,NBA,"$1,235,000"
1997-98,Los Angeles Lakers,NBA,"$1,430,000"
1998-99,Los Angeles Lakers,NBA,"$1,625,000"
1998-99,Cleveland Cavaliers,NBA,"$537,500"
1999-00,Phoenix Suns,NBA,"$1,100,000"
2000-01,Phoenix Suns,NBA,"$1,320,000"
2001-02,Philadelphia 76ers,NBA,"$1,609,235"
2002-03,Chicago Bulls,NBA,"$1,400,000"
2003-04,Chicago Bulls,NBA,"$1,680,000"
Career,(may be incomplete),,"$14,441,735"
