,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2000-01,32,TOT,NBA,PF,68,1305,.442,8.1,.973,.374,.228,.170,.201,.027,.448,.591,.313,.380,.390,.250,.656,.099,21,1.000,.375,.333,0,0
2000-01,32,PHO,NBA,PF,30,387,.489,5.8,1.000,.532,.170,.149,.149,.000,.489,.600,.375,.143,.571,,.739,.213,8,,,,0,0
2000-01,32,GSW,NBA,PF,38,918,.433,8.5,.968,.344,.239,.174,.211,.032,.439,.588,.305,.419,.365,.250,.638,.077,13,1.000,.375,.333,0,0
2001-02,33,PHI,NBA,PF,72,1426,.458,7.5,.996,.414,.155,.275,.151,.004,.460,.587,.308,.377,.421,.000,.678,.060,11,,.000,,0,0
2002-03,34,CHI,NBA,C,50,836,.485,9.9,1.000,.321,.104,.336,.239,.000,.485,.535,.143,.378,.719,,.831,.060,8,,,,0,0
2003-04,35,TOT,NBA,PF-C,62,1050,.455,12.5,.988,.229,.055,.296,.407,.012,.460,.517,.429,.413,.466,.000,.783,.036,7,,.000,,0,0
2003-04,35,CHI,NBA,PF,46,756,.471,12.7,.985,.218,.058,.267,.442,.015,.478,.511,.500,.418,.495,.000,.794,.039,6,,.000,,0,0
2003-04,35,TOR,NBA,C,16,294,.383,11.3,1.000,.277,.043,.426,.255,.000,.383,.538,.000,.400,.250,,.722,.021,1,,,,0,0
Career,,,NBA,,252,4617,.456,9.4,.987,.338,.144,.256,.249,.013,.460,.568,.306,.389,.474,.167,.723,.065,47,1.000,.250,.333,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,CHI,NBA,,96,1592,.476,11.6,.991,.259,.076,.294,.362,.009,.481,.523,.308,.400,.553,.000,.809,.047,14,,.000,,0,0
1 season,,PHI,NBA,,72,1426,.458,7.5,.996,.414,.155,.275,.151,.004,.460,.587,.308,.377,.421,.000,.678,.060,11,,.000,,0,0
1 season,,GSW,NBA,,38,918,.433,8.5,.968,.344,.239,.174,.211,.032,.439,.588,.305,.419,.365,.250,.638,.077,13,1.000,.375,.333,0,0
1 season,,PHO,NBA,,30,387,.489,5.8,1.000,.532,.170,.149,.149,.000,.489,.600,.375,.143,.571,,.739,.213,8,,,,0,0
1 season,,TOR,NBA,,16,294,.383,11.3,1.000,.277,.043,.426,.255,.000,.383,.538,.000,.400,.250,,.722,.021,1,,,,0,0
